time,aggregate,kettle
2013-03-18 10:57:06,394.0,1.0
2013-03-18 10:57:12,391.0,1.0
2013-03-18 10:57:18,389.0,1.0
2013-03-18 10:57:24,262.0,0.0
2013-03-18 10:57:30,262.0,1.0
2013-03-18 10:57:36,262.0,1.0
2013-03-18 10:57:42,307.0,1.0
2013-03-18 10:57:48,312.0,1.0
2013-03-18 10:57:54,306.0,1.0
2013-03-18 10:58:00,310.0,1.0
2013-03-18 10:58:06,270.0,1.0
2013-03-18 10:58:12,262.0,1.0
2013-03-18 10:58:18,265.0,1.0
2013-03-18 10:58:24,263.0,1.0
2013-03-18 10:58:30,261.0,1.0
2013-03-18 10:58:36,266.0,1.0
2013-03-18 10:58:42,259.0,1.0
2013-03-18 10:58:48,260.0,1.0
2013-03-18 10:58:54,267.0,1.0
2013-03-18 10:59:00,266.0,1.0
2013-03-18 10:59:06,259.0,1.0
2013-03-18 10:59:12,261.0,1.0
2013-03-18 10:59:18,265.0,1.0
2013-03-18 10:59:24,266.0,1.0
2013-03-18 10:59:30,265.0,1.0
2013-03-18 10:59:36,263.0,1.0
2013-03-18 10:59:42,264.0,1.0
2013-03-18 10:59:48,263.0,1.0
2013-03-18 10:59:54,266.0,1.0
2013-03-18 11:00:00,260.0,1.0
2013-03-18 11:00:06,262.0,1.0
2013-03-18 11:00:12,265.0,1.0
2013-03-18 11:00:18,261.0,1.0
2013-03-18 11:00:24,266.0,1.0
2013-03-18 11:00:30,261.0,1.0
2013-03-18 11:00:36,262.0,1.0
2013-03-18 11:00:42,261.0,1.0
2013-03-18 11:00:48,261.0,1.0
2013-03-18 11:00:54,262.0,1.0
2013-03-18 11:01:00,267.0,1.0
2013-03-18 11:01:06,262.0,1.0
2013-03-18 11:01:12,260.0,1.0
2013-03-18 11:01:18,264.0,1.0
2013-03-18 11:01:24,262.0,1.0
2013-03-18 11:01:30,266.0,1.0
2013-03-18 11:01:36,256.0,1.0
2013-03-18 11:01:42,261.0,1.0
2013-03-18 11:01:48,259.0,1.0
2013-03-18 11:01:54,262.0,1.0
